Name	other-index	State	Former post	appointment-date	appointment-post	appointment-conditions	change-1	post-1	date-1	change-2	post-2	date-2	change-3	post-3	date-3	change-4	post-4	date-4	change-5	post-5	date-5	change-6	post-6	date-6	change-7	post-7	date-7	change-8	post-8	date-8	end-service	end-service-date	death-date	death-place	Decoration
Comte Louis Marogna		Germany	Président de Chambre au Tribunal de Mulhouse (Alsace)	1875-06-24	Conseiller, Cour d'appel																										démissionnaire pour raisons de santé	1894-04-01			Ordre du Medjidieh de 1re classe
Charles Gescher		Germany	Juge de Cour en Lorraine	1894-05-07	Conseiller, Cour d'appel																										considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31			Grand Cordon de l'Ordre du Nil.
Dr Aloyse Lapenna		Austria-Hungary	Conseiller aulique de la Cour Suprême de Justice de Vienne	1875-06-24	Conseiller, Cour d'appel																										démissionnaire pour reprendre service dans son pays,	1881-01-31			Ordre du Medjidieh de 1re classe
Victor Barringer		United States	jurisconsulte Washington, Attorney General de la Caroline du Nord	1875-06-24	Conseiller, Cour d'appel																										démissionnaire	1894-01-31			Ordre de l'Osmanieh de 3me classe
Jasper Yeates Brinton		United States	Conseiller Légiste du U. S. Shipping Board, ancien Substitut du Procureur Général des Etats-Unis, Pensylvania	1921-10-31	Conseiller, Cour d'appel																										actuellement en fonctions				
Horace Aristide Letourneux		France	Conseiller à la Cour d'Appel d'Alger.	1876-02-08	Conseiller, Cour d'appel																										démissionnaire	1881-01-31			
Némorin Viollaud		France	Conseiller à la Cour d'Appel d'Orléans	1881-02-02	Conseiller, Cour d'appel	(en remplacement de M. Letourneux)																									démissionnaire	1881-06-25			
Francis Guillaume Marie Laloe		France	Vice-Président du Tribunal Mixte du Caire	1912-10-16	Conseiller, Cour d'appel																										atteint par la limite d'âge	1922-10-31			Grand Cordon de l'Ordre du Nil.
John Scott		Great Britain	avocat à Alexandrie	1875-06-24	Conseiller, Cour d'appel																										démissionnaire	1882-09-01			
Ralph Bertie Peter Cator		Great Britain	Président de la Cour Suprême de S.M. Britannique pour l'Egypte et de la Cour des Prises Britanniques en Egypte	1916-11-07	Conseiller, Cour d'appel																										actuellement en fonctions				
Alex. Cockburn McBarnet		Great Britain	Conseiller à la Cour d'Appel Indigène	1920-12-16	Conseiller, Cour d'appel	(au poste laissé vacant par la retraite de M. russe)																									actuellement en fonctions				
Michel Kebedgy		Greece	Professeur à l'Université de Berne (Suisse)	1907-12-19	Conseiller, Cour d'appel																										démissionnaire	1912-01-05			
Nicolas Cambas		Greece	Batonnier de l'Ordre des Avocats près les Juridictions Mixtes	1912-01-31	Conseiller, Cour d'appel		élu	Vice-Président de la Cour d'Appel Mixte	1922-11-06	nommé?	Président	1924-10-27																			actuellement en fonctions				
Giovanni Giaccone		Italy	Conseiller de Cour d'Appel en Italie	1875-06-24	Conseiller, Cour d'appel																										démissionnaire	1894-10-31	1905-05-29	Florence	Ordre du Medjidieh de 1re classe
Alexis Koumani		Russia	Conseiller d'Etat de S.M. l'Empereur de toutes les Russies	1875-06-24	Conseiller, Cour d'appel																										démissionnaire	1875-07-11			
Mohamed Cadry Pacha	31	Egypt	Chef du Bureau de Traduction au Ministère des Affaires Etrangères, charge de la codification du Statut Personnel, Rite Hanafite	1875-06-24	Conseiller, Cour d'appel		named	Ministre de la Justice	1881-09-14		Vice-Président de la Commission chargée de la réorganisation des Tribunaux Indigènes		renamed	Conseiller, Cour d'appel	1882-10-11	named	Ministre de l'Instruction Publique	1883-05-24																	Mirmiran (Pacha)
Abdallah El Said Bey		Egypt	President du Tribunal de Commerce d'Alezandrie	1875-06-24	Conseiller, Cour d'appel																												1876-01-22	Alezandrie,	
Aly Riza Bey		Egypt	President du Tribunal de Commerce du Caire	1875-06-24	Conseiller, Cour d'appel																												1882-09-08	Alexandrie,	
Hadjadour Bey		Egypt	President du Tribunal de Commerce du Caire	1875-09-24	Conseiller, Cour d'appel																												1876-07-01		
Ahmed Rasseiki Bey		Egypt	Directeur du «Journal Officiel El Wakawiec	1876-02-16	Conseiller, Cour d'appel																												1885-08-12		
Wacyf Azmy Pacha		Egypt	Président honoraire du Tribunal Mixte du Caire	1883-05-29	Conseiller, Cour d'appel																												1898-11-23	Alexandrie.	
Animed Hamdi		Egypt	Juge au Tribunal Mixte du Caire	1886-02-09	Conseiller, Cour d'appel																										admis à faire valoir ses droits à la retraite	1889-10-23			
Aly Fakhry Bey		Egypt	Chef de Parquet près les Tribunaux Indigènes de la Basse-Egypte. Inspecteur au contrôle des Tribunaux Indigenes	1893-04-04	Conseiller, Cour d'appel																												1906-06-10	Alexandrie.	
Youssouf Wahba Bey		Egypt	Directeur des Services Indigènes au Ministère de la Justice	1895-12-12	Conseiller, Cour d'appel	(au nouveau siège créé à cette date)	named	Ministre des Affaires Etrangères	1912-04-15																										
Osman Mortada Bey		Egypt	Directeur des Services Indigènes et du Bureau de Traduction au Ministère de la Justice	1906-11-05	Conseiller, Cour d'appel		named	Directeur Général de la Daïra Khassa de S.A. le Khedive	1913-01-17																										
Abdelrahman Rida Bey		Egypt	Sous-Directeur Général de l'Administration des Wakfs	1911-12-09	Conseiller, Cour d'appel		named	Conseiller à la Cour d'Appel Indigène	1913-10-20																										(Pacha).
Hussein Darwiche Bey		Egypt	Directeur du Service des Mehkémés au Ministere de la Justice	1914-04-27	Conseiller, Cour d'appel		named	Conseiller à la Cour d'Appel Indigène	1915-05-04																										(Pacha).
Abdel Fattah Yehia Bey		Egypt	Substitut au Contentieux du Ministère de l'Intérieur	1914-04-27	Conseiller, Cour d'appel		named	Sous-Secrétaire d'Etat au Ministère de l'Intérieur	1919-06-19																										(Pacha).
Mohamed Ibrahim Bey		Egypt	Président du Tribunal Indigène d'Alexandrie	1915-05-04	Conseiller, Cour d'appel		named	Conseiller à la Cour d'Appel Indigène	1919-06-19																										(Pacha).
Abdel Aziz Kahil Pacha		Egypt	Conseiller à la Cour d'Appel Indigène	1920-12-15	Conseiller, Cour d'appel																										actuellement en fonctions				
Mohamed Bahi El Dine Barakat Bey		Egypt	Sous-Secrétaire d'Etat au Ministère de la Justice	1925-01-15	Conseiller, Cour d'appel																										actuellement en fonctions				
François Hagens		Germany	Conseiller au Tribunal Royal de Berlin,	1875-06-24	Judge, Court of First Instance, Cairo																										démissionnaire	1882-10-15			
Gustave Zum Sande		Germany	membre d'un Tribunal Supérieur, Province de Hanovre,	1881-04-10	Judge, Court of First Instance, Alexandria																												1883-11-18		
Gustave Hohe		Germany	Conseiller au Tribunal de première instance de Metz,	1883-02-11	Judge, Court of First Instance, Cairo																										démissionnaire	1897-08-01			
Dr Frédéric Herzbruch		Germany	Juge de deuxième instance (Landrichter) de Berlin,	1884-01-22	Judge, Court of First Instance, Alexandria		transfer	Caire	1885-01-31																						considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31			
Othon de Bulow		Germany	attaché à la Légation de Prusse près le St. Siège à Rome, assesseur au service civil de la magistrature allemande,	1897-11-08	Judge, Court of First Instance, Cairo		transfer	Alexandrie	1904-05-18																						considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31			
Alfred Bargehr	4	Austria-Hungary	Secrétaire de Légation de S.M. I. et R. à Constantinople,	1875-06-24	Judge, Court of First Instance, Alexandria		promu (Décret du 24 Janvier 1881)	Conseiller à la Cour d'Appel Mixte	1881-02-01																						démissionnaire pour raisons de santé	1886-02-20			Ordre du Medjidieh de 3me classe
Jules Gunner		Austria-Hungary	Consul-Juge d'Autriche-Hongrie à Alexandrie,	1881-03-07	Judge, Court of First Instance, Alexandria																												1888-06-30	Teplitz (Bohème).	
Ladislas de Grubiczy de Dragon		Austria-Hungary	Notaire Royal,	1884-10-15	Judge, Court of First Instance, Cairo																										démissionnaire pour cause de maladie,	1900-05-06			
Comte Hugues de Loghothetti		Austria-Hungary	Secrétaire d'Ambassade à Constantinople,	1889-02-02	Judge, Court of First Instance, Alexandria																										démissionnaire	1897-04-03			Ordre du Medjidieh de 2me classe
Chevalier Charles de Goracuchi		Austria-Hungary	Consul Général à Bucarest,	1897-05-04	Judge, Court of First Instance, Alexandria		transfer	Caire	1897-06-24																						démissionnaire	1909-10-15			
Adalbert Bela de Zoltan	5	Austria-Hungary	Juge au Tribunal de Commerce et de Change à Budapest,	1900-09-27	Judge, Court of First Instance, Alexandria			Président du Tribunal Mixte d'Alexandrie		promu	Conseiller à la Cour d'Appel Mixte	1912-10-16																			considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31			
Dr Stanislas Emil Junkar		Austria-Hungary	Consul, attaché ou Contentieux du Ministère des Affaires Etrangeres a Vienne,	1909-11-25	Judge, Court of First Instance, Cairo		transfer	Alexandrie	1912-10-28																						considéré démissionnaire, par suite de l'état de guerre, le 31 Janvier 1915, à l'expiration de son contrat d'engagement	1915-01-31			
Dr Charles de Klusinszky		Austria-Hungary	Secrétaire au Ministère de la Justice à Budapeal,	1912-10-28	Judge, Court of First Instance, Cairo																										démissionnaire pour raisons de santé	1914-06-01			
Adolphe de Vos	304	Belgium	Procureur du Roi près la Cour d'Assises et le Tribunal de Bruges,	1875-02-08	Judge, Court of First Instance, Cairo		named	Procureur Général près les Juridictions Mixtes	1875-05-13																						résiliation de son contrat	1879-01-31			
Guillaume Edward Emile Marie de Brouwer	280	Belgium	Substitut du Procureur du Roi au Tribunal de Bruxelles,	1875-06-24	Judge, Court of First Instance, Ismaïlieh		transfer	Alexandrie	1876-12-16	rappelé au service de son Gouvernement		1883-03-01	named	Procureurs General	1889-02-02																		1892-04-30		
Camille Janssen		Belgium	Consul et Chancelier de Légation à Constantinople,	1875-06-24	Judge, Court of First Instance, Alexandria																										démissionnaire pour raisons de santé	1878-10-18			
Emile Vercamer	4	Belgium	Consul-Chancelier à Constantinople,	1879-02-06	Judge, Court of First Instance, Mansourah		transfer	Caire	1881-12-10	promu	Conseiller à la Cour d'Appel Mixte	1895-12-12																			démissionnaire	1912-01-31			
Joseph Timmermans	274	Belgium	Substitut du Procureur du Roi au Tribunal de Bruxelles,	1883-04-04	Judge, Court of First Instance, Alexandria		named	Procureur Général près les Juridictions Mixtes	1892-06-07	démissionnaire, pour reprendre son siège de 	Juge au Tribunal Mixte d'Alexandrie.	1894-02-10																					1897-02-10	Alexandrie.	Ordre de l'Osmanieh de 3me classe
Eminent Eeman		Belgium	avocat au Caire,	1885-04-16	Judge, Court of First Instance, Alexandria		transfer	Mansourah	1887-11-17	transféré	Alexandrie	1892-07-10	délégué provisoirement	Caire	1898-12	named	Procureur Général près les Juridictions Mixtes	1910-02-01																	
Achille Albert Eeman		Belgium	Juge suppléant à Gand (2me Canton), ancien Balonnier de l'ordre des avocats près la Cour d'Appel de Gand,	1897-11-08	Judge, Court of First Instance, Mansourah		transfer	Caire (Décret du 29 Avril 1907)	1907-10-15	named	Procureur Général près les Juridictions Mixtes	1912-01-31																							
Firmin van den Bosch	298	Belgium	Avocat Général à la Cour d'Appel de Gand,	1910-10-15	Judge, Court of First Instance, Mansourah		transfer	Caire	1916-02-29	named	Procureur Général près les Juridictions Mixtes	1920-04-07																			actuellement en fonctions				
Constant van Ackere	6	Belgium	Président du Tribunal d'Audenarde en Belgique,	1912-04-26	Judge, Court of First Instance, Mansourah		transfer	Alexandrie	1916-03-28	promu (Décret du 2 Juin 1924)	Conseiller à la Cour d'Appel Mixte	1924-11-01																			actuellement en fonctions				
Baron Adrien Forgeur		Belgium	Juge au Tribunal Indigène du Caire	1921-03-30	Judge, Court of First Instance, Mansourah		transfer	Alexandrie	1922-12-11																								1924-03-02	Alexandrie.	
Maurice de Wee		Belgium	1er Substitut au Tribunal de première instance de Bruxelles,	1924-04-22	Judge, Court of First Instance, Mansourah		élu	Vice-Président du Tribunal Mixte de Mansourah	1925-11-13																						actuellement en fonctions				
Julien Sheridan		Belgium	avocat à Alexandrie	1924-11-10	Judge, Court of First Instance, Mansourah																												1926-01-21	Alexandrie.	
Jurejean Itolten		Denmark	Secrétaire au Ministère des Affaires Etrangères	1876-04-15	Judge, Court of First Instance, Ismaïlieh		transfer	Caire	1878-01-27	transféré	Mansourah	1878-06-12	transféré	Alexandrie	1882-01-03																rappelé au service de son Gouvernement	1883-07-01			
Carl Johannes Ussing		Denmark	Attaché au Ministère de la Justice	1883-09-16	Judge, Court of First Instance, Alexandria		transfer	Mansourah	1887-11-01	rappelé	Alexandrie	1891-11-01	transféré	Caire	1891-11-28	transféré provisoirement	Mansourah	1894-12-13															1896-05-07	Caire	
Karl Valdemar Kraft		Denmark	Conseiller Extraordinaire à la Cour Supérieure de Danemark,	1896-01-02	Judge, Court of First Instance, Mansourah		transfer	Caire	1901-06-10																						atteint par la limite d'âge	1920-11-01			Grand Officier de l'Ordre du Nil.
Diderik-Galtrup-Gjedde Nyholm		Denmark	Conseiller d'Etat à Copenhague,	1896-10-22	Judge, Court of First Instance, Mansourah		transfer	Caire	1901-11-25																						a cessé ses fonctions le 31 Décembre 1921 à la suite de sa nomination comme Membre de la Cour Permanente de Justice Internationale à La Haye.				
Niels Vilheilm Boeg		Denmark	Juge au Tribunal de première instance de Copenhague,	1921-10-17	Judge, Court of First Instance, Mansourah		délégué	Caire	1921-10-20	rappelé	Mansourah	1922-02-08	transféré	Caire	1924-12-28																actuellement en fonctions				
Hangs Gram Bechmann		Denmark	Juge au Tribunal de première instance de Copenhague,	1922-10-05	Judge, Court of First Instance, Mansourah		délégué	Alexandrie	1922-10-20	rappelé	Mansourah	1922-11-06	élu	Président du Tribunal Mixte de Mansourah	1925-11-13																actuellement en fonctions				
Emilio Olloqui		Spain	jurisconsulte, ancien Préfet de la Province de Caceres,	1880-04-04	Judge, Court of First Instance, Mansourah		transfer	Alexandrie	1882-01-03																								1893-08-03	Ramleh.	
Frédéric Rauret y Sugastres		Spain	Substitut du Procureur du Roi au Conseil Suprême de Guerre et de la Marine,	1892-09-16	Judge, Court of First Instance, Mansourah		transfer	Alexandrie	1897-03-27																						démissionnaire pour raisons de santé	1904-10-31			
Don Carlos Morejon de Ortega		Spain	Agent Politique et Consul Général d'Espagne en Egypte, Doyen du Corps Diplomatique,	1893-10-18	Judge, Court of First Instance, Mansourah																												1894-08-30	France.	
Antonio Vazquez y Lopez Amor		Spain	Conseiller à la Cour d'Appel de Madrid,	1894-11-10	Judge, Court of First Instance, Mansourah		transfer	Caire	1899-01-05																								1908-02-04	Caire.	
Luis Comulada		Spain	avocat à Barcelone,	1905-03-23	Judge, Court of First Instance, Mansourah		transfer	Caire	1908-05-18																						démissionnaire	1911-07-01			
Don Enrique Garcia de Herreros	7	Spain	avocat à Madrid,	1908-04-18	Judge, Court of First Instance, Mansourah		transfer	Alexandrie	1913-09-30	promu (en remplacement de M. Pereira e Cunha, portugais, démissionnaire)	Conseiller à la Cour d'Appel Mixte	1925-02-01																			actuellement en fonctions				
Julio Fournier Cuadros		Spain	avocat à Barcelone,	1911-11-06	Judge, Court of First Instance, Mansourah																										démissionnaire	1915-10-15			
Don Alfonso Aguirre y Carrer Comte de Andino		Spain	Juge au Tribunal Mixte des Nouvelles Hébrides,	1916-01-25	Judge, Court of First Instance, Mansourah		transfer	Alexandrie	1918-11-30	élu	Vice-Président du Tribunal Mixte d'Alexandrie	1924-11-07																			actuellement en fonctions				
José Fesser y Reina		Spain	Chef d'Administration au Ministère de la Justice d'Espagne,	1925-05-03	Judge, Court of First Instance, Mansourah																										actuellement en fonctions				
George Sherman Batcheller	9, 112	United States	avocat à New-York, ancien Membre du Corps Législatif et du Comité Judiciaire de l'Etat de New-York,	1875-11-10	Judge, Court of First Instance, Cairo		démissionnaire		1885-11-30		Ministre des Etats-Unis à Lisbonne,		named	Judge, Court of First Instance, Cairo	1897-12-12	promu	Conseiller à la Cour d'Appel Mixte	1902-10-27															1908-07-02		Ordre du Medjidieh de 2e classe (en 1884).
Philip Hicky Morgan		United States	Juge à la Cour Suprême de l'Etat de Louisiane,	1877-07-02	Judge, Court of First Instance, Alexandria																										démissionnaire	1880-06-28			
Elbert E. Farman		United States	Agent et Consul Général des Etats-Unis d'Amérique en Egypte,	1881-10-20	Judge, Court of First Instance, Alexandria																										démissionnaire	1884-10-15			
J. B. Kinsman		United States	avocat gradué du Collège de Haward,	1885-05-05	Judge, Court of First Instance, Alexandria																										à l'expiration de la période quinquennale qui a pris fin le 31 Janvier 1889, son contrat n'a pas été renouvelé.				
Anthony M. Keiley	11	United States	Jurisconsulte,	1886-06-22	Judge, Court of First Instance, Cairo		promu	Conseiller à la Cour d'Appel Mixte	1894-02-22																						démissionnaire	1902-06-30			Ordre du Medjidieh de 2me classe
Ernest H. Crosby		United States		1888-10-09	Judge, Court of First Instance, Alexandria																										démissionnaire	1894-01-31			Ordre du Medjidieh de 3me classe
Walker Fearn		United States	Ministre des Etats-Unis en Europe,	1894-05-07	Judge, Court of First Instance, Cairo																										démissionnaire pour raisons de santé	1897-10-31			
Somerville Pinckney Tuck	5	United States	avocat à New York,	1894-05-16	Judge, Court of First Instance, Mansourah		transfer	Caire	1897-12-02	délégué	du Gouvernement de S.A. le Khedive au Congrès Universel des Avocats et Juristes à l'Exposition Universelle de St. Louis	1904-09-28	promu	Conseiller à la Cour d'Appel Mixte	1908-11-09																atteint par la limite d'âge	1920-10-31			Grand Officier de l'Ordre du Nil.
William Grant van Horne		United States	avocat à la Cour Suprême de l'Utah,	1902-10-27	Judge, Court of First Instance, Alexandria																										démissionnaire pour raisons de santé	1924-11-01			Commandeur de l'Ordre du Nil
Walter van Rensselaer Berry		United States	avocat à Washington,	1908-11-30	Judge, Court of First Instance, Cairo																										démissionnaire	1910-10-15			
Pierre Crabites		United States	avocat à New-Orléans,	1911-06-08	Judge, Court of First Instance, Cairo																										actuellement en fonctions				
Robert Llewllyn Henry Junior		United States	Professeur de Droit à Washington	1924-11-10	Judge, Court of First Instance, Alexandria																										actuellement en fonctions				
Jules Firmin Gabriel Herbout		France	Président du Tribunal d'Argentan (Orne),	1876-04-27	Judge, Court of First Instance, Cairo																										rappelé au service de son Gouvernement	1883-09-27			
Maurice Jean Joseph Bellet	8	France	Avocat Général près la Cour d'Appel de Toulouse,	1877-06-02	Judge, Court of First Instance, Alexandria		promu	Conseiller suppléant à la Cour d'Appel Mixte	1879-06-15	named	Conseiller titulaire	1884-05-19																			démissionnaire	1902-11-01			Ordre du Medjidieh de 1re classe
Georges Martin-Sarzeaud	10	France	Juge au Tribunal de la Seine	1883-10-03	Judge, Court of First Instance, Cairo		promu	Conseiller à la Cour d'Appel Mixte	1884-06-27																						démissionnaire	1887-07-30			
Casimir Prunieres	17	France	avocat à la Cour d'Appel de Paris,	1884-10-04	Judge, Court of First Instance, Cairo		promu	Conseiller à la Cour d'Appel Mixte	1906-11-29																						démissionnaire	1912-10-15			
Filatre de Longchamps		France	Procureur de la République à Boulogne-sur-Mer (Pas-de-Calais),	1884-10-29	Judge, Court of First Instance, Alexandria																										démissionnaire	1902-01-14			Ordre de l'Osmanieh de 3me classe
Frédéric Ruhland		France	Conseiller à la Cour d'Appel de Paris,	1902-01-17	Judge, Court of First Instance, Alexandria																												1905-09-20	Ribeauvillé (Alsace).	
Marius Joseph Paulin Suzanne		France	Président du Tribunal de Toulon,	1906-03-10	Judge, Court of First Instance, Alexandria																										démissionnaire	1917-01-31			
Bourgueil.		France	Juge au Tribunal de la Seine	1907-03-08	Judge, Court of First Instance, Cairo																										démissionnaire	1907-03-18			
Francis Laloe		France	Président de Chambre à la Cour d'Alger,	1907-05-02	Judge, Court of First Instance, Cairo		promu	Conseiller à la Cour d'Appel Mixte	1912-10-16																										
Frédéric Giraud		France	Juge d'Instruction au Tribunal de la Seine,	1912-10-16	Judge, Court of First Instance, Cairo																										atteint par la limite d'âge	1925-10-31			Commandeur de l'Ordre d'Ismail.
Pierre Arminjon		France	Professeur à la Faculté de droit au Caire,	1917-03-06	Judge, Court of First Instance, Alexandria		transfer	Caire	1920-12-15																						démissionnaire	1925-07-31			Commandeur de l'Ordre du Nil
Bernard Favenc	22	France	avocat au Caire,	1915-04-13	Judge, Court of First Instance, Alexandria		promu	Conseiller à la Cour d'Appel Mixte	1922-11-15																						actuellement en fonctions				
Paul Joseph Randet		France	Président de Chambre à la Cour de Rabat,	1922-12-11	Judge, Court of First Instance, Alexandria																										actuellement en fonctions				
Ambroise Alphonse Alfred Guerin		France	Vice-Président du Tribunal de la Seine.	1925-09-20	Judge, Court of First Instance, Cairo																										n'a pas pris possession de son poste, y ayant renoncé.				
Charles Oger Du Rocher		France	Procureur de la République à St. Omer,	1925-11-14	Judge, Court of First Instance, Cairo																										actuellement en fonctions				
Leon Pierre Joseph Bassard		France	Substitut au Tribunal de la Seine,	1925-11-14	Judge, Court of First Instance, Cairo																										actuellement en fonctions				
Herbert A. Hills	12	Great Britain	avocat gradué à l'Université d'Oxford,	1875-11-10	Judge, Court of First Instance, Alexandria		promu	Conseiller à la Cour d'Appel Mixte	1882-10-30																						démissionnaire	1904-02-01			Ordre du Medjidieh de 2me classe
John E. Wallis		Great Britain	Consul de S.M. Britannique à Port-Said,	1882-10-30	Judge, Court of First Instance, Alexandria																												1888-01-18		
Lionel Sandars	13	Great Britain	Docteur en droit,	1888-03-01	Judge, Court of First Instance, Alexandria		promu	Conseiller à la Cour d'Appel Mixte	1904-02-01																								1916-03-09		
William John Archer		Great Britain	Consul au Siam,	1904-02-01	Judge, Court of First Instance, Alexandria	(Décret du 23 Janvier 1904)																									démissionnaire	1906-11-01			Ordre de l'Osmanieh de 3me classe
Edward William Cohglan		Great Britain	Conseiller à la Cour d'Appel Indigène	1905-03-23	Judge, Court of First Instance, Cairo																												1909-02-17		
Fedor Andrew Satow		Great Britain	Conseiller à la Cour d'Appel Indigène	1906-11-05	Judge, Court of First Instance, Alexandria																												1909-10-23		Ordre de l'Osmanieh de 3me classe
